,block,rank,train_score,val_score,train_scores,val_scores,mse,F_tr,F_rt,dataset,subject,session
1,2,2,0.9648474489795917,0.9494163265306124,"[[0.94514286 0.94540816 0.94443878 0.94582653]
 [0.9490102  0.95234694 0.95176531 0.95131633]
 [0.95313265 0.95515306 0.95282653 0.95188776]
 [0.96510204 0.96282653 0.96233673 0.96691837]
 [0.93190816 0.93134694 0.92921429 0.92897959]]","[[0.94514286 0.94540816 0.94443878 0.94582653]
 [0.9490102  0.95234694 0.95176531 0.95131633]
 [0.95313265 0.95515306 0.95282653 0.95188776]
 [0.96510204 0.96282653 0.96233673 0.96691837]
 [0.93190816 0.93134694 0.92921429 0.92897959]]",3.2480133528145276e-11,0.12063656783610113,0.0008004410136958417,BNCI2014-008,8,0
2,3,8,0.9668200255102042,0.949538775510204,"[[0.94476531 0.94373469 0.94407143 0.94708163]
 [0.95256122 0.95088776 0.94860204 0.95104082]
 [0.95336735 0.95417347 0.95319388 0.95420408]
 [0.96284694 0.96194898 0.9634898  0.96565306]
 [0.9324898  0.93015306 0.92858163 0.92971429]]","[[0.94476531 0.94373469 0.94407143 0.94708163]
 [0.95256122 0.95088776 0.94860204 0.95104082]
 [0.95336735 0.95417347 0.95319388 0.95420408]
 [0.96284694 0.96194898 0.9634898  0.96565306]
 [0.9324898  0.93015306 0.92858163 0.92971429]]",2.7252716583183367e-11,0.019016524148432228,0.0008345354794537411,BNCI2014-008,8,0
3,4,8,0.9696357142857142,0.9502877551020408,"[[0.94671429 0.9465     0.94685714 0.95120408]
 [0.95047959 0.95036735 0.95077551 0.95097959]
 [0.95396939 0.9542449  0.95302041 0.95247959]
 [0.96482653 0.96512245 0.9647449  0.96482653]
 [0.93009184 0.92992857 0.93042857 0.93194898]]","[[0.94671429 0.9465     0.94685714 0.95120408]
 [0.95047959 0.95036735 0.95077551 0.95097959]
 [0.95396939 0.9542449  0.95302041 0.95247959]
 [0.96482653 0.96512245 0.9647449  0.96482653]
 [0.93009184 0.92992857 0.93042857 0.93194898]]",2.6181668409846015e-11,0.01880520480783879,0.0008530090870379151,BNCI2014-008,8,0
4,5,1,0.9696248724489795,0.9503979591836735,"[[0.95154082 0.95145918 0.95141837 0.95084694]
 [0.95122449 0.9507551  0.95056122 0.95023469]
 [0.95232653 0.95311224 0.95353061 0.95209184]
 [0.96491837 0.96459184 0.96442857 0.96417347]
 [0.93197959 0.93166327 0.93170408 0.93229592]]","[[0.95154082 0.95145918 0.95141837 0.95084694]
 [0.95122449 0.9507551  0.95056122 0.95023469]
 [0.95232653 0.95311224 0.95353061 0.95209184]
 [0.96491837 0.96459184 0.96442857 0.96417347]
 [0.93197959 0.93166327 0.93170408 0.93229592]]",2.6167105149666265e-11,0.018803935687705012,0.0008532975763649359,BNCI2014-008,8,0
5,6,1,0.9696815051020409,0.9503877551020409,"[[0.95158163 0.95145918 0.95079592 0.95076531]
 [0.95093878 0.95016327 0.95071429 0.95031633]
 [0.95238776 0.95230612 0.95355102 0.95167347]
 [0.96491837 0.9645102  0.96422449 0.96438776]
 [0.93211224 0.93155102 0.93210204 0.9330102 ]]","[[0.95158163 0.95145918 0.95079592 0.95076531]
 [0.95093878 0.95016327 0.95071429 0.95031633]
 [0.95238776 0.95230612 0.95355102 0.95167347]
 [0.96491837 0.9645102  0.96422449 0.96438776]
 [0.93211224 0.93155102 0.93210204 0.9330102 ]]",2.616436092411589e-11,0.018802759108971587,0.000853459448993768,BNCI2014-008,8,0
6,7,1,0.9697566326530612,0.950534693877551,"[[0.95114286 0.95154082 0.95105102 0.95088776]
 [0.951      0.95052041 0.95113265 0.9509898 ]
 [0.95381633 0.95381633 0.95279592 0.95131633]
 [0.96487755 0.96472449 0.96432653 0.96436735]
 [0.93183673 0.9314898  0.93193878 0.93331633]]","[[0.95114286 0.95154082 0.95105102 0.95088776]
 [0.951      0.95052041 0.95113265 0.9509898 ]
 [0.95381633 0.95381633 0.95279592 0.95131633]
 [0.96487755 0.96472449 0.96432653 0.96436735]
 [0.93183673 0.9314898  0.93193878 0.93331633]]",2.6092963069727482e-11,0.018802748768235605,0.0008538195337782403,BNCI2014-008,8,0
7,8,8,0.9707798469387754,0.9508163265306123,"[[0.95122449 0.9512449  0.95030612 0.95083673]
 [0.95096939 0.95040816 0.95141837 0.95088776]
 [0.95393878 0.95394898 0.95418367 0.95412245]
 [0.96509184 0.96426531 0.96470408 0.96534694]
 [0.93170408 0.9314898  0.9319898  0.93288776]]","[[0.95122449 0.9512449  0.95030612 0.95083673]
 [0.95096939 0.95040816 0.95141837 0.95088776]
 [0.95393878 0.95394898 0.95418367 0.95412245]
 [0.96509184 0.96426531 0.96470408 0.96534694]
 [0.93170408 0.9314898  0.9319898  0.93288776]]",2.424249667083164e-11,0.01812061736254237,0.0008647732192272455,BNCI2014-008,8,0
8,9,4,0.9709029336734695,0.9510102040816326,"[[0.95093878 0.95091837 0.95120408 0.95069388]
 [0.94994898 0.95052041 0.9502449  0.94922449]
 [0.95426531 0.95432653 0.95428571 0.95213265]
 [0.96545918 0.96543878 0.96552041 0.96522449]
 [0.93344898 0.93360204 0.93379592 0.93345918]]","[[0.95093878 0.95091837 0.95120408 0.95069388]
 [0.94994898 0.95052041 0.9502449  0.94922449]
 [0.95426531 0.95432653 0.95428571 0.95213265]
 [0.96545918 0.96543878 0.96552041 0.96522449]
 [0.93344898 0.93360204 0.93379592 0.93345918]]",2.3557746100794803e-11,0.018029856624631902,0.0008662627181813509,BNCI2014-008,8,0
9,10,2,0.9709724489795917,0.9511428571428571,"[[0.95156122 0.95155102 0.95137755 0.95135714]
 [0.95027551 0.95022449 0.95054082 0.95070408]
 [0.95429592 0.95426531 0.9542449  0.95154082]
 [0.96556122 0.96565306 0.96514286 0.96572449]
 [0.93372449 0.93402041 0.93437755 0.93406122]]","[[0.95156122 0.95155102 0.95137755 0.95135714]
 [0.95027551 0.95022449 0.95054082 0.95070408]
 [0.95429592 0.95426531 0.9542449  0.95154082]
 [0.96556122 0.96565306 0.96514286 0.96572449]
 [0.93372449 0.93402041 0.93437755 0.93406122]]",2.3354611638674524e-11,0.017997577667692128,0.0008665594791038297,BNCI2014-008,8,0
10,11,2,0.9710266581632652,0.9513571428571428,"[[0.95191837 0.95234694 0.95156122 0.95218367]
 [0.9505102  0.95078571 0.94990816 0.95037755]
 [0.95426531 0.95407143 0.95405102 0.95207143]
 [0.96568367 0.96571429 0.96528571 0.96579592]
 [0.93407143 0.93386735 0.93392857 0.93358163]]","[[0.95191837 0.95234694 0.95156122 0.95218367]
 [0.9505102  0.95078571 0.94990816 0.95037755]
 [0.95426531 0.95407143 0.95405102 0.95207143]
 [0.96568367 0.96571429 0.96528571 0.96579592]
 [0.93407143 0.93386735 0.93392857 0.93358163]]",2.3229949087173227e-11,0.01799622723269149,0.0008668378743462936,BNCI2014-008,8,0
