,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
106,6,7,"(3, 8, 8)",0.00012202071158789842,0.821506876262477,0.16135630727271233,0.16135630727271236,BNCI2014-004,3,0train
107,7,8,"(3, 8, 8)",0.0001223431559428135,0.8462663571785641,0.15582190291313727,0.1558219029131373,BNCI2014-004,3,0train
108,8,9,"(2, 2, 2)",0.00012267214096917554,0.8497736498815579,0.1545222686822269,0.15452226868222693,BNCI2014-004,3,0train
109,9,10,"(3, 8, 8)",0.00012292029420264545,0.8746246002310799,0.14874143848096857,0.1487414384809686,BNCI2014-004,3,0train
110,0,1,"(3, 16, 32)",0.0002504978151734912,0.1453419310041453,0.6442053859987295,0.6442053859987295,BNCI2014-004,3,1train
111,1,2,"(3, 16, 32)",0.00025450157616508203,0.27207576265233724,0.5354042603717066,0.5354042603717066,BNCI2014-004,3,1train
112,2,3,"(3, 16, 64)",9.881426307996219e-05,0.48262117783771,0.12650042504365588,0.12650042504365588,BNCI2014-004,3,1train
113,3,4,"(3, 16, 16)",9.947301017339181e-05,0.5390539395657982,0.10372836092269573,0.10372836092269573,BNCI2014-004,3,1train
114,4,5,"(3, 4, 4)",9.983256319161554e-05,0.5439179986787335,0.10164149777171531,0.10164149777171531,BNCI2014-004,3,1train
115,5,6,"(1, 1, 1)",0.00010005609413086182,0.5458083213866051,0.10143529153849316,0.10143529153849316,BNCI2014-004,3,1train
116,6,7,"(3, 16, 72)",8.435182302992937e-05,0.7717136308731629,1.3003408147890615e-30,1.3003408147890615e-30,BNCI2014-004,3,1train
117,7,8,"(1, 1, 1)",8.43518230299294e-05,0.7717824266508669,1.2943574819746605e-30,1.2943574819746605e-30,BNCI2014-004,3,1train
118,8,9,"(1, 1, 1)",8.435182302992943e-05,0.7718512223353146,1.2916206698489221e-30,1.2916206698489221e-30,BNCI2014-004,3,1train
119,9,10,"(3, 16, 16)",8.435182302992937e-05,0.8246603118620837,1.1011501206122043e-30,1.1011501206122043e-30,BNCI2014-004,3,1train
120,0,1,"(3, 16, 72)",4.3425719076476096e-05,0.2778541654490738,3.520936603793118e-30,3.520936603793118e-30,BNCI2014-004,3,2train
121,1,2,"(2, 2, 2)",4.3425719076476096e-05,0.27847467915028745,3.49635552264365e-30,3.49635552264365e-30,BNCI2014-004,3,2train
122,2,3,"(1, 1, 1)",4.3425719076476096e-05,0.27855224220862856,3.4892785896536866e-30,3.4892785896536866e-30,BNCI2014-004,3,2train
123,3,4,"(1, 1, 1)",4.342571907647612e-05,0.2786298050110857,3.4864544442376075e-30,3.4864544442376075e-30,BNCI2014-004,3,2train
124,4,5,"(3, 8, 8)",4.3425719076476096e-05,0.29351733770260485,3.4172170634728305e-30,3.4172170634728305e-30,BNCI2014-004,3,2train
125,5,6,"(1, 1, 1)",4.3425719076476096e-05,0.29359485443710454,3.413277492266077e-30,3.413277492266077e-30,BNCI2014-004,3,2train
126,6,7,"(1, 1, 1)",4.342571907647608e-05,0.29367237094905413,3.409922174146897e-30,3.409922174146897e-30,BNCI2014-004,3,2train
127,7,8,"(1, 1, 1)",4.342571907647608e-05,0.29374988723861,3.408193614392661e-30,3.408193614392661e-30,BNCI2014-004,3,2train
128,8,9,"(1, 1, 1)",4.3425719076476096e-05,0.29382740330592777,3.4056465805964205e-30,3.4056465805964205e-30,BNCI2014-004,3,2train
129,9,10,"(1, 1, 1)",4.342571907647611e-05,0.2939049191511637,3.403718973390116e-30,3.403718973390116e-30,BNCI2014-004,3,2train
130,0,1,"(2, 2, 2)",0.003259061393855124,0.010389324816644606,0.9875164771004831,0.9875164771004831,BNCI2014-004,3,3test
131,1,2,"(1, 1, 1)",0.004124368988559449,0.013517233191178328,0.9848746829311467,0.9848746829311467,BNCI2014-004,3,3test
132,2,3,"(2, 2, 2)",0.0036028127351842645,0.023345666765174335,0.9770284124305546,0.9770284124305546,BNCI2014-004,3,3test
133,3,4,"(2, 2, 2)",0.003161007260040845,0.030690715166244106,0.9715894829681081,0.9715894829681081,BNCI2014-004,3,3test
134,4,5,"(3, 4, 4)",0.00240408215402091,0.03218210029510295,0.9395594541946976,0.9395594541946976,BNCI2014-004,3,3test
135,5,6,"(2, 2, 2)",0.002599375059995288,0.03627500588121944,0.9336553861743514,0.9336553861743514,BNCI2014-004,3,3test
136,6,7,"(2, 2, 2)",0.0027773963022143223,0.03640519519047035,0.9300132089163442,0.9300132089163442,BNCI2014-004,3,3test
137,7,8,"(3, 4, 4)",0.002570697743833508,0.04407965185905362,0.9199488446007278,0.9199488446007278,BNCI2014-004,3,3test
138,8,9,"(2, 2, 2)",0.0024907444622487684,0.051218000675670804,0.9154149155863316,0.9154149155863316,BNCI2014-004,3,3test
139,9,10,"(1, 1, 1)",0.002509081090053002,0.051523172741409815,0.9145482610257692,0.9145482610257692,BNCI2014-004,3,3test
140,0,1,"(3, 16, 72)",5.937145894453913e-05,0.24840469609379812,8.060820362576292e-30,8.060820362576292e-30,BNCI2014-004,3,4test
141,1,2,"(3, 8, 8)",5.937145894453913e-05,0.26138407508157435,7.84504861500306e-30,7.84504861500306e-30,BNCI2014-004,3,4test
142,2,3,"(1, 1, 1)",5.937145894453913e-05,0.26145164956939093,7.834948041103225e-30,7.834948041103225e-30,BNCI2014-004,3,4test
143,3,4,"(3, 16, 32)",5.937145894453908e-05,0.3650182264623258,5.9158455986758936e-30,5.9158455986758936e-30,BNCI2014-004,3,4test
144,4,5,"(1, 1, 1)",5.9371458944539115e-05,0.3650855432191983,5.910962812958966e-30,5.910962812958966e-30,BNCI2014-004,3,4test
145,5,6,"(1, 1, 1)",5.937145894453908e-05,0.3651528598710101,5.9063470763610006e-30,5.9063470763610006e-30,BNCI2014-004,3,4test
146,6,7,"(1, 1, 1)",5.937145894453913e-05,0.3652201764178172,5.902419473649719e-30,5.902419473649719e-30,BNCI2014-004,3,4test
147,7,8,"(1, 1, 1)",5.9371458944539115e-05,0.3652874928596727,5.895127986661022e-30,5.895127986661022e-30,BNCI2014-004,3,4test
148,8,9,"(1, 1, 1)",5.937145894453913e-05,0.36535480919662927,5.8911105931850715e-30,5.8911105931850715e-30,BNCI2014-004,3,4test
149,9,10,"(3, 16, 64)",5.937145894453915e-05,0.571825255055485,1.4213727652035407e-30,1.4213727652035407e-30,BNCI2014-004,3,4test
150,0,1,"(1, 1, 1)",0.03859123534250426,0.07589609617359172,0.9868448067363137,0.9868448067363137,BNCI2014-004,4,0train
151,1,2,"(3, 4, 4)",0.012393983300382251,0.09526418956292955,0.9428368875360309,0.9428368875360309,BNCI2014-004,4,0train
152,2,3,"(3, 4, 4)",0.007819354312924697,0.1011454211417418,0.9211310054770047,0.9211310054770047,BNCI2014-004,4,0train
153,3,4,"(3, 4, 4)",0.006484765153494688,0.11214978940400279,0.9023941148866315,0.9023941148866315,BNCI2014-004,4,0train
154,4,5,"(1, 1, 1)",0.006610112109707816,0.12247951292651255,0.9009943694606329,0.9009943694606329,BNCI2014-004,4,0train
155,5,6,"(2, 2, 2)",0.006417647667276007,0.12342622021030725,0.8967059494057961,0.8967059494057961,BNCI2014-004,4,0train
156,6,7,"(3, 4, 4)",0.0060042189242409325,0.15415755619441063,0.8821726448605782,0.8821726448605782,BNCI2014-004,4,0train
157,7,8,"(2, 2, 2)",0.005906985823136479,0.1570488035489331,0.8776700823958038,0.8776700823958038,BNCI2014-004,4,0train
158,8,9,"(2, 2, 2)",0.0057673419033557535,0.16563792204933636,0.873075578959549,0.873075578959549,BNCI2014-004,4,0train
159,9,10,"(2, 2, 2)",0.0056424921824250835,0.16786861798181568,0.8697027320597103,0.8697027320597103,BNCI2014-004,4,0train
160,0,1,"(1, 1, 1)",0.03694082608326374,0.07282619999271994,0.9804771857605772,0.980477185760577,BNCI2014-004,4,1train
161,1,2,"(2, 2, 2)",0.02186085677935477,0.07889864863974941,0.9709741360753565,0.9709741360753563,BNCI2014-004,4,1train
162,2,3,"(2, 2, 2)",0.016264918070842578,0.07945476584539678,0.9642439338744179,0.9642439338744176,BNCI2014-004,4,1train
163,3,4,"(2, 2, 2)",0.013439647751991315,0.07969506469748446,0.9609207705893377,0.9609207705893374,BNCI2014-004,4,1train
164,4,5,"(2, 2, 2)",0.010809352457490644,0.08174749773991308,0.9472407199298549,0.9472407199298547,BNCI2014-004,4,1train
