,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
77,2,0,5,False,2,261,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8737494107170918,0.8290697114226525,0.8093078501241766
78,2,0,5,False,2,261,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8757338335018917,0.7758346581875996,0.7922568738895269
79,2,0,5,False,2,261,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8758980268592126,0.7938044996868526,0.7957514896290407
80,2,0,6,False,8,325,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8810589873659549,0.8029602070527336,0.804458579968784
81,2,0,6,False,8,325,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8727988456917051,0.8217243610482045,0.7851203973652955
82,2,0,6,False,8,325,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8786308893034573,0.8290054760642998,0.8059015814117854
83,2,0,6,False,8,325,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8808197982940009,0.7791909556615438,0.7959478163559798
84,2,0,6,False,8,325,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8821847185343074,0.7999710940887412,0.7952803054843871
85,2,0,7,False,8,389,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.886821479384838,0.8028955030734389,0.8117521178745668
86,2,0,7,False,8,389,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8757057318244204,0.8258654157230669,0.7830098850507013
87,2,0,7,False,8,389,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8823338020734699,0.8271587095116507,0.8062255205112346
88,2,0,7,False,8,389,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8850868109419259,0.7868028456263749,0.7976362262076547
89,2,0,7,False,8,389,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8850737157661887,0.7996499172969762,0.7967429396000825
90,2,0,8,False,4,405,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8880823701528855,0.8037366548042706,0.8102894837588716
91,2,0,8,False,4,405,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8762939464171697,0.8264153995470722,0.783647946913253
92,2,0,8,False,4,405,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8846053114032789,0.8293105940164762,0.8066476229741536
93,2,0,8,False,4,405,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8864900093882336,0.7891956127250245,0.7945146312493253
94,2,0,8,False,4,405,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8854796662140437,0.7976746800276212,0.796271755455429
