,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
241,0.975,7.974073,480.0,1,6,16,1,BrainInvaders2013a,BTTDA
242,0.98046875,10.326609,480.0,1,7,16,1,BrainInvaders2013a,BTTDA
243,0.95532215,3.5295286,504.0,2,0,16,1,BrainInvaders2013a,HODA
244,0.92140627,7.539858,480.0,2,1,16,1,BrainInvaders2013a,HODA
245,0.96375,2.0752704,480.0,2,2,16,1,BrainInvaders2013a,HODA
246,0.89265627,1.5468522,480.0,2,3,16,1,BrainInvaders2013a,HODA
247,0.931875,2.118874,480.0,2,4,16,1,BrainInvaders2013a,HODA
248,0.8015625,1.1402858,480.0,2,5,16,1,BrainInvaders2013a,HODA
249,0.8884375,1.3640907,480.0,2,6,16,1,BrainInvaders2013a,HODA
250,0.9153125,1.5736698,480.0,2,7,16,1,BrainInvaders2013a,HODA
251,0.97866774,12.926025,504.0,2,0,16,1,BrainInvaders2013a,PARAFACDA
252,0.9221875,8.142361,480.0,2,1,16,1,BrainInvaders2013a,PARAFACDA
253,0.96671873,8.367215,480.0,2,2,16,1,BrainInvaders2013a,PARAFACDA
254,0.91359377,7.394437,480.0,2,3,16,1,BrainInvaders2013a,PARAFACDA
255,0.9596875,7.4751005,480.0,2,4,16,1,BrainInvaders2013a,PARAFACDA
256,0.7990625,7.245028,480.0,2,5,16,1,BrainInvaders2013a,PARAFACDA
257,0.905,8.487127,480.0,2,6,16,1,BrainInvaders2013a,PARAFACDA
258,0.90703124,6.6326537,480.0,2,7,16,1,BrainInvaders2013a,PARAFACDA
259,0.9744748,24.317339,504.0,2,0,16,1,BrainInvaders2013a,BTTDA
260,0.9275,7.2722473,480.0,2,1,16,1,BrainInvaders2013a,BTTDA
261,0.9664062,8.715441,480.0,2,2,16,1,BrainInvaders2013a,BTTDA
262,0.92578125,9.230365,480.0,2,3,16,1,BrainInvaders2013a,BTTDA
263,0.9546875,8.177804,480.0,2,4,16,1,BrainInvaders2013a,BTTDA
264,0.8078125,9.060351,480.0,2,5,16,1,BrainInvaders2013a,BTTDA
265,0.9125,8.099895,480.0,2,6,16,1,BrainInvaders2013a,BTTDA
266,0.90984374,7.913646,480.0,2,7,16,1,BrainInvaders2013a,BTTDA
267,0.868125,7.8291674,480.0,3,0,16,1,BrainInvaders2013a,HODA
268,0.805625,2.3489718,480.0,3,1,16,1,BrainInvaders2013a,HODA
269,0.8734375,1.9366184,480.0,3,2,16,1,BrainInvaders2013a,HODA
270,0.8934375,2.128167,480.0,3,3,16,1,BrainInvaders2013a,HODA
271,0.85203123,1.9769477,480.0,3,4,16,1,BrainInvaders2013a,HODA
272,0.698125,1.474773,480.0,3,5,16,1,BrainInvaders2013a,HODA
273,0.88328123,1.4895835,480.0,3,6,16,1,BrainInvaders2013a,HODA
274,0.671875,1.5676923,480.0,3,7,16,1,BrainInvaders2013a,HODA
275,0.82953125,11.962311,480.0,3,0,16,1,BrainInvaders2013a,PARAFACDA
276,0.86046875,8.070683,480.0,3,1,16,1,BrainInvaders2013a,PARAFACDA
277,0.8779687,8.216099,480.0,3,2,16,1,BrainInvaders2013a,PARAFACDA
278,0.90515625,7.4656496,480.0,3,3,16,1,BrainInvaders2013a,PARAFACDA
279,0.8173438,8.587546,480.0,3,4,16,1,BrainInvaders2013a,PARAFACDA
280,0.8023437,8.540769,480.0,3,5,16,1,BrainInvaders2013a,PARAFACDA
281,0.8975,7.4184422,480.0,3,6,16,1,BrainInvaders2013a,PARAFACDA
282,0.73109376,5.8567553,480.0,3,7,16,1,BrainInvaders2013a,PARAFACDA
283,0.8578125,20.307207,480.0,3,0,16,1,BrainInvaders2013a,BTTDA
284,0.8748438,10.155856,480.0,3,1,16,1,BrainInvaders2013a,BTTDA
285,0.8935937,9.865626,480.0,3,2,16,1,BrainInvaders2013a,BTTDA
286,0.90546876,8.148314,480.0,3,3,16,1,BrainInvaders2013a,BTTDA
287,0.8720313,8.852857,480.0,3,4,16,1,BrainInvaders2013a,BTTDA
288,0.80515623,13.326357,480.0,3,5,16,1,BrainInvaders2013a,BTTDA
289,0.91296875,7.1917167,480.0,3,6,16,1,BrainInvaders2013a,BTTDA
290,0.72765625,4.870058,480.0,3,7,16,1,BrainInvaders2013a,BTTDA
291,0.84421873,7.8311152,480.0,4,0,16,1,BrainInvaders2013a,HODA
292,0.86796874,3.632228,480.0,4,1,16,1,BrainInvaders2013a,HODA
293,0.92859375,1.7935936,480.0,4,2,16,1,BrainInvaders2013a,HODA
294,0.9190625,1.8456751,480.0,4,3,16,1,BrainInvaders2013a,HODA
295,0.89515626,1.8173735,480.0,4,4,16,1,BrainInvaders2013a,HODA
296,0.9039062,1.6981858,480.0,4,5,16,1,BrainInvaders2013a,HODA
297,0.9479687,1.4428287,480.0,4,6,16,1,BrainInvaders2013a,HODA
298,0.91984373,1.2871554,480.0,4,7,16,1,BrainInvaders2013a,HODA
299,0.9092187,15.199884,480.0,4,0,16,1,BrainInvaders2013a,PARAFACDA
300,0.88140625,8.365268,480.0,4,1,16,1,BrainInvaders2013a,PARAFACDA
301,0.92546874,7.188813,480.0,4,2,16,1,BrainInvaders2013a,PARAFACDA
302,0.911875,8.360762,480.0,4,3,16,1,BrainInvaders2013a,PARAFACDA
303,0.89734375,8.081313,480.0,4,4,16,1,BrainInvaders2013a,PARAFACDA
304,0.913125,7.1664553,480.0,4,5,16,1,BrainInvaders2013a,PARAFACDA
305,0.95109373,6.9965487,480.0,4,6,16,1,BrainInvaders2013a,PARAFACDA
306,0.911875,7.055477,480.0,4,7,16,1,BrainInvaders2013a,PARAFACDA
307,0.9140625,23.089922,480.0,4,0,16,1,BrainInvaders2013a,BTTDA
308,0.8796875,9.641663,480.0,4,1,16,1,BrainInvaders2013a,BTTDA
309,0.91984373,6.602073,480.0,4,2,16,1,BrainInvaders2013a,BTTDA
310,0.90671873,8.560927,480.0,4,3,16,1,BrainInvaders2013a,BTTDA
311,0.89265627,10.730028,480.0,4,4,16,1,BrainInvaders2013a,BTTDA
312,0.908125,8.070141,480.0,4,5,16,1,BrainInvaders2013a,BTTDA
313,0.945625,7.5330696,480.0,4,6,16,1,BrainInvaders2013a,BTTDA
314,0.90671873,8.53491,480.0,4,7,16,1,BrainInvaders2013a,BTTDA
315,0.88109374,9.378375,480.0,5,0,16,1,BrainInvaders2013a,HODA
316,0.9290625,2.1866384,480.0,5,1,16,1,BrainInvaders2013a,HODA
317,0.93640625,1.5515987,480.0,5,2,16,1,BrainInvaders2013a,HODA
318,0.91046876,2.1334927,480.0,5,3,16,1,BrainInvaders2013a,HODA
319,0.97046876,1.6108989,480.0,5,4,16,1,BrainInvaders2013a,HODA
320,0.9221875,2.2501688,480.0,5,5,16,1,BrainInvaders2013a,HODA
321,0.9621875,1.5902615,480.0,5,6,16,1,BrainInvaders2013a,HODA
322,0.92265624,1.1453469,480.0,5,7,16,1,BrainInvaders2013a,HODA
323,0.9059375,13.781969,480.0,5,0,16,1,BrainInvaders2013a,PARAFACDA
324,0.9767187,7.132217,480.0,5,1,16,1,BrainInvaders2013a,PARAFACDA
325,0.9398438,6.719719,480.0,5,2,16,1,BrainInvaders2013a,PARAFACDA
326,0.9375,7.493283,480.0,5,3,16,1,BrainInvaders2013a,PARAFACDA
327,0.9840625,6.86889,480.0,5,4,16,1,BrainInvaders2013a,PARAFACDA
328,0.9309375,7.546037,480.0,5,5,16,1,BrainInvaders2013a,PARAFACDA
329,0.9740625,6.1370764,480.0,5,6,16,1,BrainInvaders2013a,PARAFACDA
330,0.95421875,7.9957056,480.0,5,7,16,1,BrainInvaders2013a,PARAFACDA
331,0.90296876,20.506977,480.0,5,0,16,1,BrainInvaders2013a,BTTDA
332,0.9709375,9.78675,480.0,5,1,16,1,BrainInvaders2013a,BTTDA
333,0.9384375,7.9671826,480.0,5,2,16,1,BrainInvaders2013a,BTTDA
334,0.94140625,8.380559,480.0,5,3,16,1,BrainInvaders2013a,BTTDA
