,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
139,19,20,"(1, 1)",5.355466870384538e-06,0.00047917081894606516,1.185713673263193e-10,0.7682894618613076,BNCI2014-008,7,0
140,0,1,"(8, 8)",2.008854977497279e-05,0.000683629098239816,3.268544329593319e-11,0.9053829623576661,BNCI2014-008,8,0
141,1,2,"(8, 8)",1.767245673034388e-05,0.0007422487925076274,3.079765253488696e-11,0.8530913787290565,BNCI2014-008,8,0
142,2,3,"(8, 8)",1.5994922529447747e-05,0.0007552956700505324,2.993655208562858e-11,0.829238996842161,BNCI2014-008,8,0
143,3,4,"(8, 8)",1.5470973478096923e-05,0.0007914077073479914,2.8567166139791924e-11,0.791307166056595,BNCI2014-008,8,0
144,4,5,"(1, 1)",1.547935051018013e-05,0.0007945540877428018,2.8553103033495634e-11,0.7909176196544488,BNCI2014-008,8,0
145,5,6,"(8, 8)",1.524250390760898e-05,0.0008134742349591486,2.6131639278255006e-11,0.7238433564079026,BNCI2014-008,8,0
146,6,7,"(4, 4)",1.5222559684251287e-05,0.0008260919841343426,2.5897307984425972e-11,0.717352406933571,BNCI2014-008,8,0
147,7,8,"(8, 8)",1.4820346970959245e-05,0.0008334513445219974,2.483209196390308e-11,0.6878460475588504,BNCI2014-008,8,0
148,8,9,"(8, 8)",1.468657318327483e-05,0.0008415878862226389,2.444330932077076e-11,0.6770768137453325,BNCI2014-008,8,0
149,9,10,"(4, 4)",1.4686505540443595e-05,0.00084323036916866,2.4340642493992855e-11,0.6742329546328081,BNCI2014-008,8,0
150,10,11,"(4, 4)",1.4685825481887013e-05,0.0008442552124855717,2.429245708977097e-11,0.6728982245628554,BNCI2014-008,8,0
151,11,12,"(8, 8)",1.440937785499093e-05,0.000852029850961054,2.3660050071145118e-11,0.6553806239981266,BNCI2014-008,8,0
152,12,13,"(2, 2)",1.4410572296113615e-05,0.000855445082026237,2.3589519538136655e-11,0.6534269364702046,BNCI2014-008,8,0
153,13,14,"(1, 1)",1.4411458774328544e-05,0.0008558077955618331,2.35816582867253e-11,0.653209180724131,BNCI2014-008,8,0
154,14,15,"(1, 1)",1.441234361027162e-05,0.0008560551877932707,2.3578584384603837e-11,0.6531240339943305,BNCI2014-008,8,0
155,15,16,"(4, 4)",1.441218055703002e-05,0.000857219665893563,2.3436459683639137e-11,0.6491871963746422,BNCI2014-008,8,0
156,16,17,"(4, 4)",1.4409901665000532e-05,0.0008597778852221795,2.333357309587786e-11,0.6463372499085417,BNCI2014-008,8,0
157,17,18,"(2, 2)",1.441165943596926e-05,0.0008635757106193281,2.3309935547922363e-11,0.6456824925905191,BNCI2014-008,8,0
158,18,19,"(2, 2)",1.4413228096908324e-05,0.0008643199720582939,2.3297512622477585e-11,0.6453383790064228,BNCI2014-008,8,0
159,19,20,"(2, 2)",1.441479323704087e-05,0.0008648597870069016,2.328595844909801e-11,0.6450183297530815,BNCI2014-008,8,0
160,0,1,"(1, 1)",7.581214076789076e-05,0.00015156812439447197,1.5341653848051054e-10,0.9898549762421699,BNCI2015-003,1,0
161,1,2,"(1, 1)",6.305493918752896e-05,0.0002281479389740502,1.5309088759324257e-10,0.9877538523706987,BNCI2015-003,1,0
162,2,3,"(8, 8)",9.223072618214806e-06,0.0002928327000676881,1.3870742370807785e-10,0.8949506680247129,BNCI2015-003,1,0
163,3,4,"(1, 1)",9.247745158415913e-06,0.0003303754145780753,1.386051060472041e-10,0.8942905068271234,BNCI2015-003,1,0
164,4,5,"(4, 4)",9.263863830358031e-06,0.0003538882703558039,1.3768576631349945e-10,0.8883588581321537,BNCI2015-003,1,0
165,5,6,"(2, 2)",9.26826317391787e-06,0.00036673034711071474,1.3708402345731586e-10,0.8844763682356216,BNCI2015-003,1,0
166,6,7,"(4, 4)",9.270705304715947e-06,0.0003700879918264943,1.360252179152202e-10,0.8776448757179532,BNCI2015-003,1,0
167,7,8,"(2, 2)",9.272866314490364e-06,0.000374633791879883,1.3525089715509338e-10,0.8726489002826417,BNCI2015-003,1,0
168,8,9,"(1, 1)",9.27476751709877e-06,0.0003846017689961922,1.3443115253206107e-10,0.8673598466878145,BNCI2015-003,1,0
169,9,10,"(4, 4)",9.118941327325878e-06,0.0003887739885770985,1.3269096831560482e-10,0.8561320480208793,BNCI2015-003,1,0
170,10,11,"(1, 1)",9.119373180925391e-06,0.00038944130526281435,1.3255455191627928e-10,0.8552518792134558,BNCI2015-003,1,0
171,11,12,"(4, 4)",9.099151509732066e-06,0.0003938491336167067,1.314827868217638e-10,0.8483367706946727,BNCI2015-003,1,0
172,12,13,"(8, 8)",8.355466255773405e-06,0.0003981886494254606,1.2460734345741686e-10,0.8039758960753134,BNCI2015-003,1,0
173,13,14,"(8, 8)",7.762259058149643e-06,0.0004037312512898502,1.190168012777651e-10,0.7679052999633889,BNCI2015-003,1,0
174,14,15,"(8, 8)",7.674115807632487e-06,0.0004056582071405173,1.1579885148058381e-10,0.7471428472866063,BNCI2015-003,1,0
175,15,16,"(1, 1)",7.671644274757612e-06,0.00040607268298790847,1.1569356786181801e-10,0.7464635495069517,BNCI2015-003,1,0
176,16,17,"(1, 1)",7.670127416873537e-06,0.0004061132212197079,1.1556906908933036e-10,0.7456602741188904,BNCI2015-003,1,0
177,17,18,"(1, 1)",7.669296303289713e-06,0.00040644577729210857,1.1541465874741329e-10,0.7446640070485753,BNCI2015-003,1,0
178,18,19,"(1, 1)",7.667734755843028e-06,0.00040698758026117677,1.1531992000538174e-10,0.7440527456019825,BNCI2015-003,1,0
179,19,20,"(2, 2)",7.65956006595265e-06,0.00040744283283238817,1.1514429568258689e-10,0.7429196043410113,BNCI2015-003,1,0
180,0,1,"(2, 2)",0.00019128791867826652,0.0004462624135176719,7.743763963413228e-11,0.9878339491061184,BNCI2015-003,2,0
181,1,2,"(1, 1)",0.0001805276753452657,0.0005795304044237415,7.591293747692607e-11,0.9683840722725824,BNCI2015-003,2,0
182,2,3,"(4, 4)",0.00010318527504260036,0.0006353175330231823,7.520754419415841e-11,0.9593857164926088,BNCI2015-003,2,0
183,3,4,"(1, 1)",0.00010308075658118055,0.0006816062180096795,7.508416865172571e-11,0.9578118752717215,BNCI2015-003,2,0
184,4,5,"(2, 2)",9.668242686636903e-05,0.0007051053722620931,7.48189247304698e-11,0.954428288795577,BNCI2015-003,2,0
185,5,6,"(2, 2)",9.638763400601676e-05,0.0007188904623364843,7.464459749604903e-11,0.9522044818558479,BNCI2015-003,2,0
186,6,7,"(2, 2)",9.616921092315395e-05,0.0007209462899350136,7.461592419831334e-11,0.9518387106744177,BNCI2015-003,2,0
187,7,8,"(1, 1)",9.606170513272267e-05,0.0007236970979389631,7.459932865414163e-11,0.9516270094653654,BNCI2015-003,2,0
188,8,9,"(1, 1)",9.596109807107113e-05,0.0007285366142521571,7.455890190571392e-11,0.9511113052840713,BNCI2015-003,2,0
189,9,10,"(1, 1)",9.587142389768353e-05,0.0007299976559295045,7.452327155516078e-11,0.9506567863955665,BNCI2015-003,2,0
190,10,11,"(1, 1)",9.576964481286553e-05,0.0007309579636570352,7.449650138493838e-11,0.9503152924774411,BNCI2015-003,2,0
191,11,12,"(1, 1)",9.569610823933187e-05,0.0007314747174015313,7.447853776944355e-11,0.9500861394542043,BNCI2015-003,2,0
192,12,13,"(1, 1)",9.559818098182199e-05,0.0007322096524186713,7.446191839373067e-11,0.9498741342378819,BNCI2015-003,2,0
193,13,14,"(8, 8)",1.440265900389778e-05,0.0007563445244713659,7.047125490032803e-11,0.8989671993562565,BNCI2015-003,2,0
194,14,15,"(1, 1)",1.441583966743227e-05,0.000756664091727574,7.046008741790666e-11,0.8988247412659274,BNCI2015-003,2,0
195,15,16,"(2, 2)",1.4424270121735453e-05,0.0007571267474822503,7.04110364410161e-11,0.8981990220363867,BNCI2015-003,2,0
196,16,17,"(8, 8)",1.339190200949845e-05,0.0007708370737641615,6.348923387870164e-11,0.8099009851596257,BNCI2015-003,2,0
197,17,18,"(1, 1)",1.3393456659357559e-05,0.0007710375968697712,6.339490605501546e-11,0.8086976914251737,BNCI2015-003,2,0
198,18,19,"(4, 4)",1.3288784816853472e-05,0.0007775281329619214,6.279652985086679e-11,0.801064499974762,BNCI2015-003,2,0
199,19,20,"(1, 1)",1.3289849401624997e-05,0.0007776651301890177,6.260950399018602e-11,0.7986787028945032,BNCI2015-003,2,0
200,0,1,"(1, 1)",0.0002213707698099665,0.00044224960457591085,2.920814036464294e-11,0.9831164175713515,BNCI2015-003,3,0
201,1,2,"(8, 8)",2.221131947135582e-05,0.0006445437779258349,2.6356799351692246e-11,0.8871431674112801,BNCI2015-003,3,0
202,2,3,"(1, 1)",2.2399296419149924e-05,0.000772472123964695,2.6320486990497794e-11,0.8859209301169723,BNCI2015-003,3,0
203,3,4,"(1, 1)",2.2583346464580303e-05,0.0007735942918961863,2.6303983054281596e-11,0.8853654243420022,BNCI2015-003,3,0
204,4,5,"(4, 4)",2.2631333906381715e-05,0.0007790678619846105,2.5998164662121226e-11,0.875071887048129,BNCI2015-003,3,0
205,5,6,"(1, 1)",2.2647018920857023e-05,0.0008375292476716104,2.5885687205965118e-11,0.8712860098107138,BNCI2015-003,3,0
206,6,7,"(2, 2)",2.265364766189692e-05,0.0008630769584976562,2.5836461836898547e-11,0.8696291337519786,BNCI2015-003,3,0
207,7,8,"(2, 2)",2.2646774800219646e-05,0.00087936009492246,2.566489075893437e-11,0.863854225064838,BNCI2015-003,3,0
