,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
74,3,"(4, 4)",3,145,61,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.873969387755102,0.8284387755102042,BNCI2014-008,1,0
75,3,"(8, 8)",3,193,79,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8783737244897959,0.8282551020408163,BNCI2014-008,1,0
76,3,"(1, 1)",4,130,58,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8698450255102042,0.8095816326530612,BNCI2014-008,1,0
77,3,"(2, 2)",4,133,59,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8686498724489796,0.807734693877551,BNCI2014-008,1,0
78,3,"(4, 4)",4,145,64,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8688775510204081,0.8074489795918368,BNCI2014-008,1,0
79,3,"(8, 8)",4,193,82,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8739107142857142,0.8147448979591836,BNCI2014-008,1,0
80,4,"(1, 1)",0,194,81,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8724534438775511,0.8484897959183676,BNCI2014-008,1,0
81,4,"(2, 2)",0,197,83,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8723966836734693,0.8501734693877551,BNCI2014-008,1,0
82,4,"(4, 4)",0,209,88,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8734897959183673,0.849969387755102,BNCI2014-008,1,0
83,4,"(8, 8)",0,257,102,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8740918367346938,0.8483877551020407,BNCI2014-008,1,0
84,4,"(1, 1)",1,194,70,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8768450255102042,0.8438265306122448,BNCI2014-008,1,0
85,4,"(2, 2)",1,197,72,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8775548469387755,0.8443163265306123,BNCI2014-008,1,0
86,4,"(4, 4)",1,209,75,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.878450255102041,0.8447653061224489,BNCI2014-008,1,0
87,4,"(8, 8)",1,257,95,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.880190051020408,0.8436938775510204,BNCI2014-008,1,0
88,4,"(1, 1)",2,194,72,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8809451530612246,0.807265306122449,BNCI2014-008,1,0
89,4,"(2, 2)",2,197,73,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8820420918367347,0.8076122448979592,BNCI2014-008,1,0
90,4,"(4, 4)",2,209,78,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8826721938775511,0.8068979591836734,BNCI2014-008,1,0
91,4,"(8, 8)",2,257,96,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.884265306122449,0.8107448979591837,BNCI2014-008,1,0
92,4,"(1, 1)",3,194,80,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8791096938775512,0.8282244897959183,BNCI2014-008,1,0
93,4,"(2, 2)",3,197,82,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8792665816326531,0.8286122448979591,BNCI2014-008,1,0
94,4,"(4, 4)",3,209,84,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8793380102040816,0.8291020408163265,BNCI2014-008,1,0
95,4,"(8, 8)",3,257,101,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8819846938775511,0.8286122448979591,BNCI2014-008,1,0
96,4,"(1, 1)",4,194,83,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8749400510204082,0.8166428571428571,BNCI2014-008,1,0
97,4,"(2, 2)",4,197,86,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8741409438775509,0.816530612244898,BNCI2014-008,1,0
